trial_type	image_path	onset	offset	block	task_version	category	subcategory	image_num	block_trial	duration	target	reaction_time	task
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-84.jpg	70.05288196494803	70.45271707093343	10.0	alt	objects	instrument	instrument-84.jpg	8.0	0.3998351059854031	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-18.jpg	70.55306713096797	70.9526233728975	10.0	alt	objects	instrument	instrument-18.jpg	9.0	0.3995562419295311	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-85.jpg	71.03781503695063	71.43727390887216	10.0	alt	objects	instrument	instrument-85.jpg	10.0	0.3994588719215244	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-10.jpg	71.53801252203993	71.93861382687464	10.0	alt	objects	instrument	instrument-10.jpg	11.0	0.40060130483470857	False		
rest		71.95468353503385		11.0	alt	baseline							
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-88.jpg	78.00303603895009	78.40289737191051	12.0	alt	bodies	limb	limb-88.jpg	0.0	0.3998613329604268	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-57.jpg	78.48775761900471	78.88773370790295	12.0	alt	bodies	limb	limb-57.jpg	1.0	0.3999760888982564	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-63.jpg	78.98334356886335	79.3883217119146	12.0	alt	bodies	limb	limb-63.jpg	2.0	0.40497814305126667	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-144.jpg	79.48651739186606	79.88718148693442	12.0	alt	bodies	limb	limb-144.jpg	3.0	0.4006640950683504	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-10.jpg	79.98672183696179	80.3861629590392	12.0	alt	bodies	limb	limb-10.jpg	4.0	0.3994411220774055	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-42.jpg	80.46988880890422	80.87098806700668	12.0	alt	bodies	limb	limb-42.jpg	5.0	0.4010992581024766	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-64.jpg	80.96706203790382	81.37040452286602	12.0	alt	bodies	limb	limb-64.jpg	6.0	0.4033424849621952	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-61.jpg	81.47171034198254	81.87107701203786	12.0	alt	bodies	limb	limb-61.jpg	7.0	0.3993666700553149	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-8.jpg	81.9697486208752	82.36885145702401	12.0	alt	bodies	limb	limb-8.jpg	8.0	0.39910283614881337	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-83.jpg	82.4710076339543	82.86945041688159	12.0	alt	bodies	limb	limb-83.jpg	9.0	0.3984427829273045	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-83.jpg	82.95481755002402	83.35370292700827	12.0	alt	bodies	limb	limb-83.jpg	10.0	0.3988853769842535	True		
